id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
C00209,Isabel Giraldo Pacheco,28.0,M,Lima,Ate,2025-08-26,Tienda,Consumidor
C00210,Pedro Muñoz,53.0,M,Arequipa,Paucarpata,2024-01-08,Tienda,Familiar
C00211,Alejandro Gerardo García Rueda,38.0,M,Lima,Ate,2025-01-26,Tienda,Consumidor
C00212,Jesús Arturo Marín Castillo,36.0,F,Lima,La Molina,2022-09-22,Tienda,Consumidor
C00213,Néstor Cáceres,52.0,F,Trujillo,El Porvenir,2022-11-25,Tienda,Familiar
C00214,Andrés Mario Giraldo Martínez,32.0,M,Trujillo,Trujillo,2024-06-29,Tienda,Familiar
C00215,Enrique Jorge Medina,44.0,F,Arequipa,Cercado,2025-05-27,Tienda,Premium
C00216,José Camilo Quintero Ortiz,41.0,F,Lima,Santiago de Surco,2023-04-17,Tienda,Familiar
C00217,Martha Johana Carmona Sanabria,27.0,F,Lima,Jesús María,2022-05-19,App,Familiar
C00218,Elena Meza Restrepo,24.0,F,Lima,Santiago de Surco,2023-03-21,Tienda,Familiar
C00219,Mercedes Caballero,35.0,F,Piura,Piura,2023-09-07,App,Consumidor
C00220,Jorge Gutiérrez Salcedo,40.0,M,Lima,Miraflores,2024-04-24,Tienda,Consumidor
C00221,Rubén Gómez,32.0,F,Cusco,Santiago,2023-10-14,Tienda,Consumidor
C00222,Ángela María Guerrero Vargas,36.0,F,Lima,Miraflores,2024-10-26,Tienda,Familiar
C00223,Rosario Giraldo Buitrago,27.0,F,Cusco,Cusco,2023-03-04,App,Consumidor
C00224,Daniela Giraldo,35.0,M,Piura,Veintiséis de Octubre,2025-07-04,App,Consumidor
C00225,Javier Parra Suárez,38.0,F,Trujillo,El Porvenir,2022-04-01,Tienda,Familiar
C00226,Tatiana Silva,38.0,,Cusco,Wanchaq,2023-08-28,App,Familiar
C00227,Vanessa Naranjo,18.0,M,Cusco,San Sebastián,2024-04-13,Web,Consumidor
C00228,Juan Díaz Murillo,35.0,M,Lima,Los Olivos,2022-01-23,App,Familiar
C00229,Diego Enrique Bonilla Barragán,33.0,M,Lima,Santiago de Surco,2025-05-02,Tienda,Consumidor
C00230,Luis José Patiño Delgado,42.0,M,Piura,Castilla,2024-09-20,Tienda,Consumidor
C00231,Diego José Díaz Palacios,25.0,M,Trujillo,Víctor Larco,2025-04-05,Tienda,Familiar
C00232,Ana Rodríguez Rincón,31.0,M,Cusco,Cusco,2022-10-12,Tienda,Premium
C00233,Eugenia Mariela Olaya,45.0,F,Lima,Comas,2024-06-22,App,Consumidor
C00234,Candelaria Guzmán Álvarez,44.0,M,Cusco,Wanchaq,2022-09-10,Web,Familiar
C00235,Rafael Andrés Rivera Obando,19.0,M,Cusco,San Sebastián,2023-10-11,Tienda,Familiar
C00236,Isabel Ortiz Martínez,29.0,M,Trujillo,,2023-12-12,Web,Familiar
C00237,Alexis Fernando Betancur Flórez,47.0,M,Piura,Piura,2025-02-13,App,Familiar
C00238,Ana Sandra Mejía Ortega,51.0,F,Piura,,2024-04-08,Tienda,Consumidor
C00239,Daniel Carlos Gutiérrez Bermúdez,67.0,F,Cusco,Santiago,2024-12-09,Tienda,Consumidor
C00240,Yolima Lizeth Gutiérrez Marín,31.0,F,Lima,La Molina,2025-03-08,Tienda,Consumidor
C00241,Óscar Bedoya Prieto,50.0,M,Lima,Los Olivos,2024-05-20,App,Premium
C00242,Mónica Elizabeth Gómez,32.0,M,Lima,Comas,2023-01-16,Web,Consumidor
C00243,Sandra María Padilla Rueda,51.0,M,Lima,Comas,2022-06-25,Tienda,Consumidor
C00244,Santos Sánchez Monsalve,42.0,F,Arequipa,Yanahuara,2023-07-10,App,Consumidor
C00245,Gerardo David Díaz Solano,48.0,F,Lima,San Miguel,2024-08-25,Tienda,Consumidor
C00246,Melissa Castro Oviedo,35.0,M,Lima,Santiago de Surco,2023-08-08,Web,Premium
C00247,Rosa María Burgos,21.0,M,Piura,Veintiséis de Octubre,2022-03-23,Tienda,Consumidor
C00248,Yolanda Castañeda Arias,51.0,M,Lima,San Miguel,2022-10-16,App,Familiar
C00249,María Jiménez Quintero,26.0,F,Cusco,Cusco,2023-06-08,Tienda,Familiar
C00250,César César Correa,35.0,F,Arequipa,José Luis B. y Rivero,2024-12-31,Tienda,Consumidor
C00251,Gustavo Alberto Valencia Osorio,18.0,M,Lima,La Molina,2022-05-24,Tienda,Consumidor
C00252,Sonia Lara,31.0,F,Lima,La Molina,2024-01-31,Tienda,Consumidor
C00253,Alexander Bolívar,51.0,F,Trujillo,El Porvenir,2024-08-01,Tienda,Consumidor
C00254,María Liliana Quiroga,28.0,F,Lima,Ate,2024-07-26,Tienda,Consumidor
C00255,Camilo Niño,33.0,F,Piura,Piura,2022-08-25,Tienda,Consumidor
C00256,Tomás Villa Lozano,25.0,F,Cusco,,2023-05-30,App,Familiar
C00257,Gabriel Andrey Gómez,35.0,M,Arequipa,Yanahuara,2024-08-02,Web,Consumidor
C00258,Esteban Valencia,39.0,M,Trujillo,Trujillo,2025-08-01,Tienda,Premium
C00259,Ángel Domínguez,31.0,M,Lima,San Juan de Lurigancho,2024-03-22,Tienda,Familiar
C00260,Sandra Paola Vera,32.0,F,Arequipa,Cayma,2025-09-30,App,Consumidor
C00261,Alejandro Antonio Carrillo,21.0,F,Trujillo,La Esperanza,2025-08-30,Tienda,Consumidor
C00262,Yésica Rocío Rentería León,45.0,M,Lima,Los Olivos,2022-02-21,App,Familiar
C00263,Andrés Villamil García,38.0,M,Lima,La Molina,2022-07-23,Web,Consumidor
C00264,Alexandra Carol Roa,32.0,F,Piura,Veintiséis de Octubre,2022-09-08,Web,Consumidor
C00265,Saúl Álvarez,39.0,M,Lima,Ate,2023-06-12,Tienda,Consumidor
C00266,Rosa Yurani Cuesta,46.0,M,Lima,Comas,2023-04-24,App,Consumidor
C00267,Alfredo Antonio Barrera,25.0,F,Lima,La Molina,2024-01-14,Tienda,Consumidor
C00268,Lizeth Martínez Pérez,52.0,F,Lima,Santiago de Surco,2023-03-16,Tienda,Premium
C00269,Julián Cano,22.0,M,Lima,San Juan de Lurigancho,2023-08-04,Web,Consumidor
C00270,Clemencia Sepúlveda Caicedo,24.0,F,Piura,Piura,2023-01-23,Tienda,Consumidor
C00271,Isabel Agudelo,41.0,F,Lima,San Isidro,2023-07-08,Tienda,Consumidor
C00272,Edna Dary Díaz Reyes,43.0,F,Lima,Jesús María,2025-05-19,Tienda,Familiar
C00273,Sandra Liliana Ospina Marín,18.0,F,Lima,Ate,2022-12-03,Tienda,Consumidor
C00274,Alirio Luis Silva,24.0,F,Lima,Ate,2022-03-11,Tienda,Consumidor
C00275,Carlos Restrepo,56.0,F,Lima,Miraflores,2024-02-05,Tienda,Familiar
C00276,Leandro Palacios,35.0,M,Lima,San Miguel,2024-04-16,Web,Consumidor
C00277,Dario Federico Sierra,44.0,F,Arequipa,Cayma,2023-10-28,App,Familiar
C00278,Manuel Guzmán Romero,49.0,M,Piura,Piura,2022-04-20,Tienda,Familiar
C00279,Omar Perdomo Tovar,25.0,M,Lima,San Isidro,2022-01-22,Web,Familiar
